iter	Passed	Remaining
0	58	58278
1	58	29407
2	59	19748
3	59	14898
4	60	12033
5	61	10117
6	61	8744
7	62	7707
8	62	6908
9	63	6292
10	64	5761
11	64	5331
12	65	4959
13	66	4652
14	66	4385
15	67	4152
16	68	3949
17	69	3765
18	69	3598
19	70	3447
20	71	3310
21	71	3185
22	72	3072
23	73	2968
24	73	2876
25	74	2790
26	75	2708
27	75	2634
28	76	2559
29	77	2493
30	77	2430
31	78	2374
32	79	2317
33	79	2265
34	80	2216
35	81	2169
36	81	2127
37	82	2085
38	83	2046
39	83	2008
40	84	1972
41	84	1936
42	85	1902
43	86	1871
44	86	1842
45	87	1812
46	88	1786
47	88	1759
48	89	1734
49	89	1709
50	90	1685
51	91	1662
52	91	1642
53	92	1622
54	93	1602
55	93	1583
56	94	1564
57	95	1546
58	95	1529
59	96	1511
60	97	1494
61	97	1477
62	98	1461
63	98	1446
64	99	1433
65	100	1419
66	100	1404
67	101	1389
68	101	1375
69	102	1362
70	103	1350
71	104	1346
72	105	1335
73	105	1322
74	106	1311
75	106	1298
76	107	1286
77	107	1274
78	108	1264
79	109	1254
80	109	1243
81	110	1232
82	110	1219
83	110	1209
84	111	1200
85	112	1192
86	112	1181
87	113	1171
88	113	1166
89	114	1158
90	115	1150
91	115	1142
92	116	1135
93	116	1127
94	117	1119
95	118	1115
96	119	1113
97	120	1107
98	121	1101
99	121	1095
100	122	1088
101	122	1082
102	123	1075
103	124	1069
104	124	1061
105	126	1070
106	127	1062
107	127	1054
108	127	1045
109	128	1038
110	128	1032
111	129	1026
112	130	1022
113	130	1018
114	131	1012
115	132	1006
116	133	1010
117	134	1006
118	135	1001
119	136	998
120	137	996
121	137	990
122	138	986
123	138	981
124	139	974
125	140	976
126	141	975
127	142	973
128	143	967
129	143	961
130	145	966
131	146	962
132	147	958
133	147	954
134	148	951
135	149	946
136	149	943
137	150	939
138	151	936
139	151	932
140	152	929
141	152	923
142	153	920
143	154	916
144	154	912
145	155	908
146	155	904
147	156	901
148	157	897
149	157	894
150	158	891
151	159	887
152	161	893
153	162	893
154	163	889
155	163	887
156	164	883
157	165	881
158	166	878
159	166	875
160	167	870
161	167	866
162	167	862
163	168	858
164	168	854
165	169	850
166	169	846
167	170	842
168	170	838
169	170	834
170	171	830
171	171	827
172	172	823
173	172	819
174	173	815
175	173	812
176	173	808
177	174	804
178	174	801
179	175	797
180	175	794
181	175	790
182	176	787
183	176	784
184	177	780
185	177	777
186	178	773
187	178	770
188	178	767
189	179	765
190	181	769
191	182	766
192	182	763
193	183	760
194	183	757
195	183	754
196	184	750
197	184	748
198	185	746
199	185	743
200	186	741
201	186	738
202	187	735
203	187	732
204	188	729
205	188	727
206	189	724
207	189	721
208	189	718
209	190	715
210	190	712
211	191	710
212	191	707
213	191	704
214	192	702
215	192	699
216	193	697
217	194	696
218	194	694
219	195	692
220	195	689
221	196	687
222	196	684
223	196	682
224	197	680
225	197	677
226	198	675
227	199	674
228	199	672
229	200	669
230	200	667
231	200	664
232	201	662
233	201	660
234	202	657
235	202	655
236	202	653
237	203	651
238	203	649
239	204	648
240	205	645
241	205	643
242	205	641
243	206	640
244	207	638
245	210	643
246	210	641
247	211	640
248	212	639
249	212	638
250	213	636
251	213	634
252	214	633
253	214	631
254	215	628
255	215	627
256	216	626
257	217	624
258	217	622
259	218	621
260	219	620
261	219	618
262	220	616
263	220	615
264	221	613
265	221	612
266	222	611
267	224	612
268	224	610
269	225	610
270	226	609
271	227	607
272	228	607
273	228	605
274	229	603
275	229	602
276	230	601
277	231	599
278	231	598
279	232	598
280	233	597
281	234	596
282	234	595
283	235	594
284	236	592
285	236	590
286	238	591
287	238	590
288	239	589
289	240	587
290	240	586
291	241	584
292	242	584
293	242	582
294	243	582
295	244	581
296	244	579
297	245	578
298	246	576
299	246	575
300	247	574
301	248	573
302	248	571
303	249	570
304	249	569
305	250	568
306	251	567
307	252	566
308	252	565
309	254	566
310	255	565
311	255	564
312	257	564
313	257	563
314	258	562
315	259	561
316	259	560
317	260	559
318	261	557
319	262	556
320	262	555
321	263	554
322	263	552
323	264	551
324	264	550
325	265	548
326	265	547
327	266	545
328	267	544
329	267	544
330	269	543
331	269	542
332	270	541
333	271	540
334	271	539
335	272	538
336	273	537
337	274	536
338	274	536
339	275	534
340	276	533
341	276	532
342	277	531
343	277	529
344	278	528
345	278	527
346	279	525
347	279	524
348	280	523
349	281	521
350	281	520
351	282	520
352	283	519
353	284	518
354	284	517
355	285	516
356	286	515
357	287	515
358	288	514
359	288	513
360	289	512
361	290	511
362	291	510
363	291	509
364	292	508
365	292	507
366	293	506
367	294	505
368	295	504
369	295	503
370	296	502
371	296	500
372	297	499
373	297	498
374	298	497
375	299	496
376	300	495
377	300	494
378	301	493
379	301	492
380	302	491
381	303	490
382	303	489
383	304	488
384	305	487
385	305	486
386	306	485
387	307	484
388	307	483
389	308	481
390	308	480
391	308	479
392	309	477
393	309	476
394	310	475
395	310	474
396	311	472
397	311	471
398	312	470
399	312	468
400	312	467
401	313	466
402	314	466
403	315	465
404	316	464
405	317	463
406	317	462
407	318	461
408	318	460
409	319	459
410	319	458
411	320	457
412	321	456
413	322	455
414	322	454
415	323	453
416	323	452
417	324	451
418	324	450
419	325	449
420	325	447
421	326	446
422	327	446
423	327	445
424	328	445
425	329	443
426	330	442
427	330	441
428	331	441
429	332	440
430	332	439
431	333	438
432	333	437
433	334	436
434	335	435
435	336	434
436	337	434
437	338	433
438	338	432
439	339	431
440	339	430
441	340	429
442	340	428
